cpt_hcpcs_code,long_desc,short_desc,betos_code,betos_code_desc
V6,Arteriovenous graft (or other vascular access not including a vascular catheter),Arteriovenous graft,,
V7,Arteriovenous fistula only (in use with two needles),Arteriovenous fistula,,
V8,Infection present,Infection present,,
V9,No infection present,No infection present,,
VM,Medicare diabetes prevention program (mdpp) virtual make-up session,Mdpp virtual make-up session,,
VP,Aphakic patient,Aphakic patient,,
X1,"Continuous/broad services: for reporting services by clinicians, who provide the principal care for a patient, with no planned endpoint of the relationship; services in this category represent comprehensive care, dealing with the entire scope of patient problems, either directly or in a care coordination role; reporting clinician service examples include, but are not limited to: primary care, and clinicians providing comprehensive care to patients in addition to specialty care",Continuous/broad services,,
X2,Continuous/focused services: for reporting services by clinicians whose expertise is needed for the ongoing management of a chronic disease or a condition that needs to be managed and followed with no planned endpoint to the relationship; reporting clinician service examples include but are not limited to: a rheumatologist taking care of the patient's rheumatoid arthritis longitudinally but not providing general primary care services,Continuous/focused services,,
X3,Episodic/broad servies: for reporting services by clinicians who have broad responsibility for the comprehensive needs of the patient that is limited to a defined period and circumstance such as a hospitalization; reporting clinician service examples include but are not limited to the hospitalist's services rendered providing comprehensive and general care to a patient while admitted to the hospital,Episodic/broad services,,
X4,"Episodic/focused services: for reporting services by clinicians who provide focused care on particular types of treatment limited to a defined period and circumstance; the patient has a problem, acute or chronic, that will be treated with surgery, radiation, or some other type of generally time-limited intervention; reporting clinician service examples include but are not limited to, the orthopedic surgeon performing a knee replacement and seeing the patient through the postoperative period",Episodic/focused services,,
X5,"Diagnostic services requested by another clinician: for reporting services by a clinician who furnishes care to the patient only as requested by another clinician or subsequent and related services requested by another clinician; this modifier is reported for patient relationships that may not be adequately captured by the above alternative categories; reporting clinician service examples include but are not limited to, the radiologist's interpretation of an imaging study requested by another clinician",Svc req by another clinician,,
XE,"Separate encounter, a service that is distinct because it occurred during a separate encounter",Separate encounter,,
XP,"Separate practitioner, a service that is distinct because it was performed by a different practitioner",Separate practitioner,,
XS,"Separate structure, a service that is distinct because it was performed on a separate organ/structure",Separate organ/structure,,
XU,"Unusual non-overlapping service, the use of a service that is distinct because it does not overlap usual components of the main service",Unusual separate service,,
ZA,Novartis/sandoz,Novartis/sandoz,,
ZB,Pfizer/hospira,Pfizer/hospira,,
ZC,Merck/samsung bioepis,Merck/samsung bioepis,,
A0021,"Ambulance service, outside state per mile, transport (medicaid only)",Outside state ambulance serv,O1A, Ambulance
A0080,"Non-emergency transportation, per mile - vehicle provided by volunteer (individual or organization), with no vested interest",Noninterest escort in non er,O1A, Ambulance
A0090,"Non-emergency transportation, per mile - vehicle provided by individual (family member, self, neighbor) with vested interest",Interest escort in non er,O1A, Ambulance
A0100,Non-emergency transportation; taxi,Nonemergency transport taxi,O1A, Ambulance
A0110,"Non-emergency transportation and bus, intra or inter state carrier",Nonemergency transport bus,O1A, Ambulance
A0120,"Non-emergency transportation: mini-bus, mountain area transports, or other transportation systems",Noner transport mini-bus,O1A, Ambulance
A0130,Non-emergency transportation: wheelchair van,Noner transport wheelch van,O1A, Ambulance
A0140,Non-emergency transportation and air travel (private or commercial) intra or inter state,Nonemergency transport air,O1A, Ambulance
A0160,Non-emergency transportation: per mile - case worker or social worker,Noner transport case worker,O1A, Ambulance
A0170,"Transportation ancillary: parking fees, tolls, other",Transport parking fees/tolls,O1A, Ambulance
A0180,Non-emergency transportation: ancillary: lodging-recipient,Noner transport lodgng recip,O1A, Ambulance
A0190,Non-emergency transportation: ancillary: meals-recipient,Noner transport meals recip,O1A, Ambulance
A0200,Non-emergency transportation: ancillary: lodging escort,Noner transport lodgng escrt,O1A, Ambulance
A0210,Non-emergency transportation: ancillary: meals-escort,Noner transport meals escort,O1A, Ambulance
A0225,"Ambulance service, neonatal transport, base rate, emergency transport, one way",Neonatal emergency transport,O1A, Ambulance
A0380,Bls mileage (per mile),Basic life support mileage,O1A, Ambulance
A0382,Bls routine disposable supplies,Basic support routine suppls,O1A, Ambulance
A0384,Bls specialized service disposable supplies; defibrillation (used by als ambulances and bls ambulances in jurisdictions where defibrillation is permitted in bls ambulances),Bls defibrillation supplies,O1A, Ambulance
A0390,Als mileage (per mile),Advanced life support mileag,O1A, Ambulance
A0392,Als specialized service disposable supplies; defibrillation (to be used only in jurisdictions where defibrillation cannot be performed in bls ambulances),Als defibrillation supplies,O1A, Ambulance
A0394,Als specialized service disposable supplies; iv drug therapy,Als iv drug therapy supplies,O1A, Ambulance
A0396,Als specialized service disposable supplies; esophageal intubation,Als esophageal intub suppls,O1A, Ambulance
A0398,Als routine disposable supplies,Als routine disposble suppls,O1A, Ambulance
A0420,"Ambulance waiting time (als or bls), one half (1/2) hour increments",Ambulance waiting 1/2 hr,O1A, Ambulance
A0422,"Ambulance (als or bls) oxygen and oxygen supplies, life sustaining situation",Ambulance 02 life sustaining,O1A, Ambulance
A0424,"Extra ambulance attendant, ground (als or bls) or air (fixed or rotary winged); (requires medical review)",Extra ambulance attendant,O1A, Ambulance
A0425,"Ground mileage, per statute mile",Ground mileage,O1A, Ambulance
A0426,"Ambulance service, advanced life support, non-emergency transport, level 1 (als 1)",Als 1,O1A, Ambulance
A0427,"Ambulance service, advanced life support, emergency transport, level 1 (als 1 - emergency)",Als1-emergency,O1A, Ambulance
A0428,"Ambulance service, basic life support, non-emergency transport, (bls)",Bls,O1A, Ambulance
A0429,"Ambulance service, basic life support, emergency transport (bls-emergency)",Bls-emergency,O1A, Ambulance
A0430,"Ambulance service, conventional air services, transport, one way (fixed wing)",Fixed wing air transport,O1A, Ambulance
A0431,"Ambulance service, conventional air services, transport, one way (rotary wing)",Rotary wing air transport,O1A, Ambulance
A0432,"Paramedic intercept (pi), rural area, transport furnished by a volunteer ambulance company which is prohibited by state law from billing third party payers",Pi volunteer ambulance co,O1A, Ambulance
A0433,"Advanced life support, level 2 (als 2)",Als 2,O1A, Ambulance
A0434,Specialty care transport (sct),Specialty care transport,O1A, Ambulance
A0435,"Fixed wing air mileage, per statute mile",Fixed wing air mileage,O1A, Ambulance
A0436,"Rotary wing air mileage, per statute mile",Rotary wing air mileage,O1A, Ambulance
A0888,"Noncovered ambulance mileage, per mile (e.g., for miles traveled beyond closest appropriate facility)",Noncovered ambulance mileage,O1A, Ambulance
A0998,"Ambulance response and treatment, no transport",Ambulance response/treatment,O1A, Ambulance
A0999,Unlisted ambulance service,Unlisted ambulance service,O1A, Ambulance
A4206,"Syringe with needle, sterile, 1 cc or less, each",1 cc sterile syringe&needle,D1A, Medical/surgical supplies
A4207,"Syringe with needle, sterile 2 cc, each",2 cc sterile syringe&needle,D1A, Medical/surgical supplies
